	condition	sex	replicate	batch	dob	YchromReads	totalReads	Age	YreadPerMillion	AgePerMillion	sexBySeq
ETM_F_1	ETM	F	A	A	June	168.5	28451863.5	216744.6	5.92228343848198	7617.94038552167	F
ETM_F_2	ETM	F	B	B	June	153.9	28994196.2	220917.9	5.30795883901758	7619.38349579079	F
ETM_M_1	ETM	M	A	A	June	5008.1	28312852.5	222419.3	176.884331947832	7855.77150871676	M
ETM_M_3	ETM	M	C	B	Oct	2519.7	27935653.1	233555.3	90.1965667665024	8360.4739493275	M
PTM_F_1	PTM	F	A	A	May	178.7	27741015.2	210257.8	6.4417253194108	7579.31166124014	F
PTM_F_2	PTM	F	B	B	May	175.3	27710800.8	205972.9	6.32605319727895	7432.94650654773	F
PTM_F_3	PTM	F	C	B	Sept	682.5	27877014.9	227312.8	24.4825352516492	8154.12987421404	F
PTM_F_5	PTM	F	D	B	Oct	132.5	28410511.9	238556.7	4.6637667236119	8396.77584267674	F
PTM_M_1	PTM	M	A	A	March	4534.3	28146170.7	215424.7	161.098291072327	7653.78361042911	M
PTM_M_3	PTM	M	C	B	Oct	4491.5	30534206	234714.7	147.097324227131	7686.94296488338	M
SH_F_1	SH	F	A	A	May	223.1	27920521.4	220001	7.99053845749456	7879.54482827101	F
SH_F_3	SH	F	C	B	Sept	770.9	29032150.4	194546.4	26.5533206937368	6701.06751720327	F
SH_M_1	SH	M	A	A	March	5178.6	27513555.3	222790.9	188.219949895025	8097.49585507039	M
SH_M_3	SH	M	C	B	Sept	202	29903950.2	257048.1	6.75496041991135	8595.79079957136	F
WT_F_1	WT	F	A	A	May	157.8	28150280.4	213765	5.60562799935734	7593.70766338796	F
WT_F_2	WT	F	B	B	June	246.9	30866172.2	205741.5	7.99904822665377	6665.59813983024	F
WT_F_4	WT	F	D	B	Oct	140.9	28270835.2	217594.5	4.98393482198927	7696.78357433176	F
WT_M_1	WT	M	A	A	March	4959	28370912.4	210102.3	174.791699684639	7405.55316084935	M
WT_M_3	WT	M	C	B	Sept	175	27992624.2	217260.6	6.25164681773565	7761.35164919622	F
